"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"247",1,1,0,3,2,3,0,4,4,3
"248",1,1,1,1,0,1,1,0,1,0
"249",0,1,0,0,1,0,0,1,0,1
"250",1,0,1,2,0,2,0,0,2,2
"251",0,0,0,1,0,0,0,0,0,1
"252",0,0,0,1,0,1,0,0,1,0
"253",1,0,1,3,0,3,0,0,4,0
"254",0,0,0,0,0,0,0,0,0,1
"255",2,1,2,3,1,1,1,2,4,1
"256",0,2,1,1,0,0,1,1,1,4
"257",2,1,1,3,1,1,2,1,2,2
"258",0,0,0,1,0,0,0,0,1,0
"259",0,0,0,0,0,0,0,0,0,0
"260",0,0,0,0,0,0,0,0,0,0
"261",0,0,0,0,0,0,0,0,0,0
"262",0,1,0,0,1,0,0,2,0,2
"263",1,2,1,2,1,1,1,2,3,3
"264",1,1,1,1,0,1,0,1,1,1
"265",0,1,0,0,0,0,0,0,0,0
"266",0,0,0,0,0,0,0,0,0,1
"267",1,1,0,1,1,0,1,1,1,1
"268",0,1,0,0,1,0,0,0,0,1
"269",0,1,0,0,1,0,2,1,1,2
"270",1,0,0,1,1,0,0,1,0,1
"271",0,1,0,1,0,0,0,0,1,0
"272",1,0,2,2,1,1,0,2,3,2
"273",0,0,0,0,0,0,0,0,1,0
"274",0,1,0,0,1,0,1,1,1,1
"275",0,2,1,0,2,0,0,5,2,6
"276",0,0,0,1,1,0,1,3,0,3
"277",1,0,0,0,0,0,0,0,1,0
"278",0,0,1,0,0,0,0,0,1,0
"279",0,1,0,0,1,1,0,2,1,2
"280",1,0,1,1,0,1,0,0,1,0
"281",0,0,0,0,0,0,0,0,0,0
"282",0,0,0,1,0,0,0,1,1,2
"283",0,1,0,1,1,1,1,2,2,4
"284",0,0,0,0,1,0,1,4,0,3
"285",1,1,0,2,0,1,0,0,2,2
"286",0,2,0,2,1,1,2,3,2,2
"287",0,1,1,2,0,0,0,0,1,0
"288",0,0,0,0,0,0,0,0,0,0
"289",0,1,0,1,1,1,0,0,1,2
"290",0,0,0,0,0,0,0,0,0,0
"291",0,0,0,0,0,0,0,0,0,0
"292",0,0,0,0,0,0,0,1,0,0
"293",1,1,2,1,2,0,0,2,2,2
"294",0,0,0,1,0,1,0,0,2,1
"295",0,0,0,0,0,1,0,2,2,2
"296",0,0,0,1,0,0,1,2,2,2
"297",0,0,0,0,0,0,0,0,0,0
"298",0,0,0,0,0,0,0,0,0,0
"299",0,0,0,0,0,0,0,0,0,0
"300",0,2,0,1,1,0,0,1,1,2
"301",1,0,1,1,0,1,0,0,1,0
"302",2,3,0,0,2,1,2,2,3,3
"303",0,1,0,0,0,0,0,0,0,1
"304",1,1,2,1,0,1,0,1,2,2
"305",0,0,0,0,0,0,0,0,0,0
"306",0,0,0,1,0,1,0,3,2,2
"307",0,0,0,0,0,0,0,0,0,0
"308",0,0,0,0,0,0,0,0,0,0
"309",0,0,0,0,0,0,0,0,0,1
"310",0,1,0,1,1,0,1,3,1,3
"311",0,1,0,0,0,0,0,2,1,1
"312",1,2,1,2,1,1,1,2,1,2
"313",0,0,0,1,0,1,0,0,1,0
"314",2,0,0,2,0,2,0,0,3,1
"315",3,2,1,2,1,1,2,1,3,2
"316",0,1,0,1,0,0,1,1,1,1
"317",0,1,0,0,2,0,1,1,0,3
"318",0,0,0,2,0,0,0,0,0,0
"319",0,1,0,0,0,0,1,1,0,1
"320",0,1,1,2,2,3,0,1,3,2
"321",1,0,0,1,0,1,0,0,1,0
"322",2,1,2,2,1,1,0,2,4,1
"323",0,3,1,2,0,2,1,1,2,2
"324",2,3,2,2,2,2,2,2,2,4
"325",0,0,0,0,0,0,0,0,0,0
"326",1,1,0,0,1,0,1,1,1,2
"327",1,0,1,2,0,1,0,0,2,0
"328",0,2,0,2,1,2,1,1,2,1
"329",1,0,0,1,0,1,0,0,2,1
"330",3,1,0,3,1,3,0,2,5,2
"331",1,1,1,1,1,1,1,2,1,3
"332",1,2,0,2,1,2,1,2,2,3
"333",0,1,0,1,0,0,1,2,2,3
"334",0,0,0,0,0,1,0,0,1,0
"335",1,0,0,1,0,0,0,0,2,0
"336",2,0,3,3,0,3,0,0,3,0
"337",0,0,0,0,0,0,0,0,0,0
"338",0,0,0,0,0,0,0,0,0,0
"339",0,2,0,2,1,0,0,0,2,5
"340",0,0,0,0,0,0,0,0,0,0
"341",0,0,0,3,0,3,1,0,4,0
"342",1,1,1,2,0,3,1,1,4,1
"343",1,1,1,1,1,0,0,4,2,7
"344",1,1,1,1,0,1,0,1,2,1
"345",0,0,0,0,0,0,0,1,0,0
"346",1,1,1,1,1,0,0,4,2,7
"347",0,0,0,0,0,0,0,0,0,0
"348",0,0,0,0,0,0,0,0,0,0
"349",0,0,0,0,0,0,0,0,0,1
"350",1,0,2,3,0,2,0,1,2,0
"351",1,1,1,1,1,0,0,4,2,7
"352",2,0,1,4,0,1,0,0,5,0
"353",0,0,0,0,0,1,0,0,1,0
"354",3,1,0,2,0,1,1,2,4,3
"355",0,1,0,0,0,0,0,4,0,3
"356",1,0,1,2,0,2,1,0,3,0
"357",0,0,0,0,0,0,0,1,0,2
"358",1,2,0,3,0,1,0,0,3,1
"359",1,1,0,1,1,0,1,1,1,1
"360",0,0,0,0,0,0,0,0,0,1
"361",0,0,0,0,0,0,0,0,0,0
"362",0,0,0,0,1,0,0,1,0,2
"363",0,0,0,0,0,0,0,0,0,0
"364",2,0,0,2,0,1,0,1,2,0
"365",0,1,0,2,0,1,2,1,1,1
"366",1,0,0,1,0,1,0,0,2,0
"367",0,0,0,0,0,0,0,0,0,0
"368",0,0,0,0,0,0,0,0,0,2
"369",0,1,0,0,1,0,0,2,0,1
"370",0,2,0,0,1,1,0,2,0,2
"371",1,0,0,2,0,0,1,1,1,1
"372",1,1,1,0,1,0,0,2,1,3
"373",0,2,0,0,4,1,1,3,2,5
"374",1,2,1,1,1,1,2,1,1,1
"375",0,1,0,0,2,0,0,2,0,4
"376",0,0,0,0,0,0,0,1,0,2
"377",0,2,0,0,1,1,0,2,0,2
"378",0,1,0,0,1,0,0,1,0,3
"379",1,0,1,0,0,0,0,0,2,0
"380",0,0,0,2,0,1,0,1,2,1
"381",1,0,0,1,1,1,0,2,1,3
"382",0,1,0,0,1,0,0,3,0,2
"383",0,0,0,0,1,0,1,2,0,1
"384",0,0,0,0,0,0,0,0,1,0
"385",1,2,1,2,1,1,1,3,1,6
"386",0,0,0,0,0,0,0,0,0,0
"387",0,0,0,0,0,0,0,0,0,0
"388",0,1,0,0,0,0,0,0,1,1
"389",2,1,0,1,1,2,0,3,4,2
"390",0,0,0,0,0,0,0,1,0,1
"391",1,1,1,4,0,3,0,0,4,2
"392",0,0,0,0,0,0,0,0,0,0
"393",0,0,0,2,0,3,0,1,4,2
"394",0,1,0,1,0,1,0,0,2,2
"395",1,1,0,1,1,0,1,1,1,1
"396",1,3,0,3,2,0,1,2,0,3
"397",0,0,0,1,0,1,0,0,1,0
"398",0,0,0,0,0,0,0,0,0,1
"399",0,0,0,0,0,0,0,0,0,1
"400",0,0,0,0,0,0,0,0,0,0
"401",0,1,0,0,1,0,2,1,1,3
"402",2,2,1,1,1,3,2,2,2,3
"403",1,0,0,2,0,0,0,2,2,2
"404",0,0,0,0,0,1,1,0,1,2
"405",0,0,0,0,0,0,1,1,0,1
"406",1,0,1,3,0,1,0,1,4,0
"407",0,0,0,1,1,0,1,1,0,2
"408",0,0,0,0,0,0,0,0,0,2
"409",0,0,0,0,0,0,0,0,0,0
"410",1,0,2,1,0,3,0,1,3,1
"411",0,2,0,2,1,2,1,2,2,2
"412",0,0,0,0,0,0,0,0,0,0
"413",0,1,0,1,0,1,0,1,1,0
"414",1,0,0,1,0,1,0,1,1,0
