"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"207",0,2,0,2,1,0,1,2,3,1
"208",2,0,2,3,0,1,0,2,7,1
"209",0,0,0,1,0,0,0,1,1,1
"210",0,2,0,2,1,0,1,2,3,1
"211",0,0,0,0,0,0,0,1,1,1
"212",0,0,0,1,1,1,0,3,4,2
"213",0,2,0,2,1,0,1,2,3,1
"214",0,0,0,2,0,2,0,1,4,1
"215",0,0,0,0,0,0,0,2,0,2
"216",0,1,0,1,1,0,0,1,1,3
"217",0,2,0,2,1,0,1,2,3,1
"218",0,0,0,0,0,0,0,1,0,1
"219",0,2,0,2,1,0,1,2,3,1
"220",0,0,0,1,1,1,0,3,4,2
"221",0,0,0,1,1,1,0,3,4,2
"222",0,0,0,1,1,1,0,3,4,2
"223",0,1,0,0,1,0,0,4,1,4
"224",0,0,0,1,1,1,0,3,4,2
"225",0,0,0,1,0,0,0,1,1,1
"226",0,0,0,1,0,0,0,0,0,1
"227",0,1,0,1,1,0,0,1,1,3
"228",0,0,0,1,1,1,0,3,4,2
"229",0,2,0,2,1,0,1,2,3,1
"230",0,1,0,1,1,0,0,1,1,3
"231",0,2,0,2,1,0,1,2,3,1
"232",1,0,0,1,0,0,0,0,3,1
"233",1,0,0,0,0,0,0,0,2,0
"234",0,0,0,1,0,0,0,0,0,1
"235",0,0,0,1,0,0,0,0,0,1
"236",0,0,0,1,0,0,0,0,0,1
"237",0,0,0,1,0,1,0,0,2,0
"238",1,0,1,1,0,1,0,1,1,1
"239",1,0,0,4,0,1,0,1,2,3
"240",1,0,0,1,1,1,0,2,1,3
"241",0,0,0,1,0,1,0,3,2,2
"242",0,1,0,0,0,0,0,1,0,0
"243",0,0,0,1,0,0,0,0,0,1
"244",1,0,0,4,0,1,0,1,2,3
"245",0,0,0,1,1,1,0,3,4,2
"246",0,0,0,1,1,1,0,3,4,2
"247",0,0,0,0,0,0,0,1,0,3
"248",0,0,0,1,0,0,0,1,2,1
"249",0,0,0,1,0,0,0,0,0,1
"250",0,0,0,1,1,1,0,3,4,2
"251",0,0,0,1,1,1,0,3,4,2
"252",0,0,0,0,0,0,0,1,1,1
"253",1,1,0,2,0,0,1,3,0,1
"254",0,0,0,2,0,2,0,1,4,1
"255",2,0,1,1,0,1,0,0,3,1
"256",1,0,0,4,0,1,0,1,2,3
"257",0,1,0,1,1,0,0,1,1,3
"258",0,0,0,1,1,1,0,3,4,2
"259",0,0,0,1,1,1,0,3,4,2
"260",0,0,0,0,0,0,0,1,1,1
"261",0,1,0,1,1,0,0,1,1,3
"262",0,0,0,1,0,0,0,0,1,1
"263",0,1,0,1,1,0,0,1,1,3
"264",0,1,0,0,0,0,0,0,1,0
"265",0,0,0,1,1,1,0,3,4,2
"266",0,0,0,1,1,1,0,3,4,2
"267",1,0,0,1,0,1,0,1,1,1
"268",3,1,1,2,0,2,0,0,3,0
"269",1,2,0,1,0,1,0,0,2,1
"270",0,0,0,0,0,1,0,0,2,0
"271",1,0,0,1,0,1,1,1,2,1
"272",0,0,0,0,0,0,0,0,0,0
"273",0,0,0,1,1,1,0,3,4,2
"274",1,0,0,0,0,0,0,0,2,0
"275",0,0,0,0,1,0,0,1,1,2
"276",0,2,0,2,1,0,1,2,3,1
"277",2,0,0,2,0,2,1,2,4,3
"278",2,1,1,1,3,1,0,2,3,4
"279",0,1,0,1,1,0,0,1,1,3
"280",0,1,0,1,1,0,0,1,1,3
"281",0,0,0,1,1,1,0,3,4,2
"282",0,0,0,1,0,0,0,0,0,1
"283",0,0,0,1,1,1,0,3,4,2
"284",0,0,0,0,0,0,0,0,0,0
"285",0,0,0,1,1,1,0,3,4,2
"286",0,2,0,2,1,0,1,2,3,1
"287",2,0,1,1,0,1,0,1,3,1
"288",0,0,0,0,0,0,0,1,0,1
"289",0,0,0,1,0,0,0,0,0,1
"290",2,0,2,3,0,1,0,2,7,1
"291",0,0,0,1,0,0,0,0,0,1
"292",0,1,0,0,1,0,1,0,1,2
"293",0,0,0,0,0,0,0,1,0,1
"294",2,1,0,1,0,1,0,0,3,0
"295",1,0,0,0,0,0,0,0,2,0
"296",0,0,0,1,0,1,0,1,1,1
"297",0,0,0,1,1,1,0,3,4,2
