"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"607",1,1,0,1,1,0,0,1,0,2
"608",0,1,0,0,0,0,0,0,0,0
"609",1,0,1,1,0,0,0,0,2,0
"610",0,0,0,0,0,0,0,0,0,0
"611",0,2,0,2,0,1,0,0,3,1
"612",2,2,2,1,1,0,1,2,2,2
"613",0,0,0,1,0,1,0,0,1,0
"614",1,0,1,2,0,0,0,1,1,1
"615",3,2,0,1,2,0,1,3,1,2
"616",0,0,0,0,0,0,0,0,0,0
"617",1,1,0,0,1,1,1,2,1,3
"618",1,2,0,0,1,0,1,1,2,1
"619",3,1,1,3,0,0,0,0,3,0
"620",3,2,0,1,2,0,1,3,1,2
"621",2,2,2,1,1,0,1,2,2,2
"622",0,0,0,1,0,1,0,0,1,0
"623",0,0,0,0,0,0,0,1,1,0
"624",0,0,0,1,0,1,0,0,1,0
"625",2,0,1,2,1,1,0,3,2,4
"626",0,1,0,1,1,1,1,1,1,1
"627",2,3,1,1,1,0,1,1,1,1
"628",2,2,0,2,2,1,2,3,2,2
"629",0,1,0,0,0,0,0,0,0,1
"630",0,1,0,0,0,0,0,0,0,0
"631",1,1,0,0,1,0,1,3,0,1
"632",1,2,0,0,1,0,1,1,2,1
"633",0,0,0,0,0,0,0,1,1,0
"634",2,3,1,1,3,0,2,3,0,4
"635",1,1,0,0,1,1,1,2,1,3
"636",3,2,0,1,2,0,1,3,1,2
"637",2,1,1,3,2,2,1,1,4,3
"638",2,1,2,1,1,1,1,1,2,1
"639",2,3,1,1,3,0,2,3,0,4
"640",3,1,2,2,0,1,1,1,2,2
"641",0,0,0,0,0,0,0,0,0,0
"642",2,1,1,1,2,1,1,3,1,3
"643",0,2,0,0,1,0,0,2,0,2
"644",3,2,1,2,1,0,2,2,3,1
"645",0,0,0,0,0,0,0,2,0,1
"646",1,1,0,1,1,0,0,1,0,2
"647",0,0,0,1,0,1,0,0,1,0
"648",1,1,0,0,1,0,1,3,0,2
"649",0,1,0,0,0,0,0,0,0,0
"650",3,2,0,1,2,0,1,3,1,2
"651",2,2,0,0,1,1,2,1,3,1
"652",0,0,0,1,0,1,0,0,4,0
"653",1,2,0,0,1,0,1,4,0,5
"654",3,2,0,1,2,0,1,3,1,2
"655",3,3,0,2,1,1,1,1,1,2
"656",1,1,0,0,1,0,1,1,0,1
"657",1,2,0,0,1,0,1,1,2,1
"658",0,2,0,2,0,1,0,0,3,1
"659",2,2,1,1,2,1,2,2,2,2
"660",1,0,0,1,0,1,0,1,1,1
"661",3,2,0,1,2,0,1,3,1,2
"662",3,3,3,2,0,0,0,2,3,1
"663",0,0,0,1,0,1,0,0,1,0
"664",1,1,0,0,1,0,1,3,0,1
"665",3,2,0,1,2,0,1,3,1,2
"666",0,0,0,0,0,0,0,1,1,0
"667",0,1,0,0,0,0,0,3,0,2
"668",0,1,0,1,1,1,1,1,1,1
"669",3,0,5,3,0,4,0,1,7,2
"670",1,0,0,1,1,0,0,2,1,3
"671",1,1,0,0,1,1,1,2,1,3
"672",0,0,0,0,0,0,0,1,1,0
"673",0,0,0,0,0,0,0,1,0,0
"674",1,2,0,0,1,0,1,1,2,1
"675",0,0,0,0,0,0,0,3,0,2
"676",0,0,0,1,0,0,0,2,1,1
"677",1,0,1,1,0,0,0,2,1,2
"678",0,0,0,1,0,1,0,0,1,0
"679",1,1,0,0,0,0,0,0,1,2
"680",3,1,1,3,0,0,0,0,3,0
"681",0,0,0,0,0,0,0,0,0,1
"682",2,1,1,1,2,1,1,3,1,3
"683",3,2,0,1,2,0,1,3,1,2
"684",0,0,0,0,1,0,0,2,0,1
"685",0,0,1,0,0,0,0,3,0,2
"686",2,1,0,0,1,0,1,1,1,1
"687",0,0,0,0,0,0,0,0,0,0
"688",1,1,0,1,1,0,0,1,0,2
"689",0,0,0,0,0,0,0,1,0,0
"690",2,3,1,1,3,0,2,3,0,4
"691",3,3,3,2,0,0,0,2,3,1
"692",3,1,1,3,0,0,0,0,3,0
"693",1,0,1,1,0,0,0,1,1,0
"694",0,0,0,0,0,0,0,0,0,0
"695",0,0,0,0,0,0,0,0,0,0
"696",3,3,0,2,1,1,1,1,1,2
"697",0,0,1,0,0,0,0,3,0,2
"698",1,1,0,0,1,0,1,3,0,2
"699",1,1,0,1,1,0,0,1,0,2
"700",0,0,0,0,0,0,0,0,0,0
"701",1,0,1,1,0,1,0,0,1,1
"702",1,1,0,3,0,1,1,1,2,0
"703",1,2,0,0,1,0,1,1,2,1
"704",0,0,0,1,0,1,0,0,1,0
"705",0,0,0,1,0,1,0,0,1,0
"706",1,0,1,1,0,1,1,2,1,2
"707",0,0,0,0,1,0,0,2,0,1
"708",1,1,0,0,1,1,1,2,1,3
"709",1,1,0,2,1,1,1,1,2,1
"710",2,2,1,2,3,1,1,3,1,3
"711",1,1,1,0,0,0,0,0,1,0
"712",2,0,1,2,0,0,0,0,2,0
"713",0,0,0,0,0,0,0,2,0,1
"714",0,0,0,0,0,0,0,1,0,0
"715",2,2,0,1,2,0,1,3,1,2
"716",1,1,1,1,1,0,1,1,1,1
"717",2,2,1,2,1,1,1,1,2,1
"718",1,2,0,0,2,0,1,2,0,2
"719",3,2,0,1,2,0,1,3,1,2
"720",3,2,0,1,2,0,1,3,1,2
"721",2,2,0,1,2,0,1,3,1,2
"722",1,0,1,0,0,0,0,0,1,0
"723",0,0,0,0,1,1,0,2,1,1
"724",0,0,0,0,0,0,0,0,0,1
"725",2,1,1,1,0,1,0,1,3,2
"726",0,0,0,0,0,0,0,0,0,0
"727",2,3,1,1,3,0,2,3,0,4
"728",1,0,1,1,0,0,0,1,1,1
"729",0,0,0,0,0,0,0,1,0,2
"730",2,1,1,1,2,1,1,3,1,3
"731",1,1,0,0,1,0,1,1,0,2
"732",1,1,0,0,1,0,1,1,0,2
"733",1,1,0,0,1,0,1,1,0,2
"734",0,0,0,1,0,1,0,0,1,0
"735",0,1,1,0,0,0,0,1,1,1
"736",1,1,0,0,0,0,0,0,1,1
"737",1,1,1,0,0,0,0,0,1,0
"738",0,0,0,0,0,0,0,1,0,0
"739",0,1,0,0,1,1,1,1,1,1
"740",0,0,0,0,0,0,0,1,0,2
"741",2,2,0,2,2,1,2,3,2,2
"742",3,1,1,3,0,0,0,0,3,0
"743",1,0,1,1,0,0,0,0,1,1
"744",2,3,1,1,3,0,2,3,0,4
"745",2,0,1,3,0,4,0,0,5,0
"746",3,0,5,3,0,4,0,1,7,2
"747",1,0,1,1,0,0,0,2,1,2
"748",1,2,0,0,1,0,1,1,2,1
"749",0,0,0,0,0,0,0,0,0,0
"750",3,3,0,2,1,1,1,1,1,2
"751",0,0,1,0,0,0,0,3,0,2
"752",2,3,1,1,1,0,1,1,1,1
"753",2,1,2,2,1,1,2,0,3,1
"754",1,1,0,1,0,0,0,2,2,3
"755",2,1,2,2,1,1,2,0,3,1
"756",1,0,0,1,0,1,0,0,1,0
"757",3,2,0,1,2,0,1,3,1,2
"758",1,1,0,1,1,0,0,1,0,2
"759",1,1,1,0,0,0,0,0,1,0
"760",3,1,1,3,0,0,0,0,3,0
"761",2,0,1,2,0,0,0,0,2,0
"762",1,1,0,1,1,0,0,1,0,2
"763",0,0,0,0,1,1,0,2,1,1
"764",2,2,0,0,1,0,1,2,1,3
"765",0,0,1,0,0,0,0,3,0,2
"766",0,1,0,0,0,0,0,0,0,0
"767",1,1,1,0,0,0,0,0,1,0
"768",1,1,0,0,1,1,1,2,1,3
"769",2,3,1,1,3,0,2,3,0,4
"770",0,0,0,0,0,0,0,2,0,1
"771",2,2,1,2,3,1,1,3,1,3
"772",0,0,0,0,0,0,1,1,0,1
"773",1,1,1,1,0,0,0,3,1,2
"774",2,2,0,2,2,1,2,3,2,2
"775",1,1,0,1,1,0,0,1,0,2
"776",1,1,0,1,1,0,0,1,0,2
"777",1,0,0,1,1,0,0,2,1,3
"778",2,1,1,1,1,0,1,2,1,2
"779",1,0,1,2,0,0,0,1,1,1
"780",1,0,1,1,0,0,0,2,1,2
"781",1,1,0,0,1,0,1,1,0,2
"782",1,1,0,1,0,0,0,2,2,3
"783",0,0,0,0,0,0,0,0,1,2
"784",0,0,0,1,0,1,0,0,1,0
"785",3,0,5,3,0,4,0,1,7,2
"786",2,3,1,1,3,0,2,3,0,4
"787",1,1,0,1,1,0,0,1,0,2
"788",2,2,0,1,2,0,2,1,1,2
"789",0,0,0,0,0,0,0,0,0,0
"790",1,1,0,1,1,0,0,1,0,2
"791",2,2,2,1,1,0,1,2,2,2
"792",1,1,0,0,1,1,1,2,1,3
"793",0,1,0,0,0,0,0,1,1,1
"794",0,0,0,0,0,0,0,1,0,0
"795",0,0,0,0,1,1,0,2,1,1
"796",1,0,1,1,0,0,0,0,1,0
"797",0,1,1,0,0,0,0,1,1,1
"798",1,1,1,0,0,0,0,0,1,0
"799",1,1,1,0,0,0,0,0,1,0
"800",2,1,0,0,1,0,1,1,1,1
"801",1,1,0,0,1,1,1,2,1,3
"802",2,3,1,1,3,0,2,3,0,4
"803",1,0,1,1,0,0,0,2,1,2
"804",0,1,0,3,0,0,0,2,1,2
"805",0,0,0,0,0,1,0,1,2,0
"806",1,2,0,0,2,0,2,2,0,4
"807",2,2,1,3,2,1,1,2,3,2
"808",0,0,0,1,0,1,0,0,1,0
"809",2,1,1,1,0,1,0,1,3,2
"810",3,0,5,3,0,4,0,1,7,2
"811",0,0,0,1,0,1,0,0,1,0
"812",1,2,0,0,1,0,1,1,2,1
"813",1,0,0,1,0,1,0,0,1,0
"814",2,2,0,2,2,1,2,3,2,2
"815",2,2,0,1,2,0,1,3,1,2
"816",2,2,0,1,2,0,1,3,1,2
"817",3,1,2,2,0,1,1,1,2,2
"818",0,0,0,1,0,1,0,0,1,0
"819",1,1,0,1,1,0,0,1,0,1
"820",0,0,0,1,0,1,0,0,1,0
"821",1,0,1,1,0,0,0,2,1,2
"822",1,0,0,1,0,1,0,1,1,1
"823",1,1,0,0,1,0,1,3,0,1
"824",3,2,0,1,2,0,1,3,1,2
"825",2,1,0,0,1,0,1,1,1,1
"826",1,1,0,0,1,0,1,1,0,2
"827",0,0,0,0,0,0,0,1,0,2
"828",1,0,0,1,0,1,0,3,2,1
"829",3,2,0,1,2,0,1,3,1,2
"830",2,2,0,2,2,1,2,3,2,2
"831",0,0,0,1,0,1,0,0,1,0
"832",1,1,0,0,1,1,1,2,1,3
"833",1,2,0,0,1,0,1,1,2,1
"834",0,0,0,0,0,0,0,3,0,2
"835",0,0,0,0,0,0,0,1,1,0
"836",1,0,1,1,0,0,0,2,1,2
"837",2,3,1,1,3,0,2,3,0,4
"838",3,0,5,3,0,4,0,1,7,2
"839",2,0,1,2,1,1,0,3,2,4
"840",1,0,0,1,0,1,0,0,1,0
"841",2,3,1,1,1,0,1,1,1,1
"842",1,1,0,3,0,1,1,1,2,0
"843",3,2,0,1,2,0,1,3,1,2
"844",2,2,2,1,1,0,2,1,4,2
"845",0,0,0,0,0,0,0,0,0,0
"846",2,4,0,1,1,1,2,2,1,3
"847",3,1,1,0,1,0,1,3,3,3
"848",0,0,0,1,0,1,0,0,1,0
"849",0,0,0,0,0,0,0,0,0,1
"850",2,2,0,2,2,1,2,3,2,2
"851",3,2,0,1,2,0,1,3,1,2
"852",3,0,5,3,0,4,0,1,7,2
"853",0,0,0,0,0,0,0,1,0,0
"854",0,2,0,0,1,0,0,2,0,2
"855",1,2,0,1,2,0,0,4,0,3
"856",0,0,0,0,1,0,0,2,0,1
"857",1,1,0,1,1,0,1,1,0,5
"858",3,0,5,3,0,4,0,1,7,2
"859",3,0,5,3,0,4,0,1,7,2
"860",3,2,0,1,2,0,1,3,1,2
"861",1,0,0,2,0,1,0,2,1,3
"862",0,1,1,1,0,0,0,1,4,2
"863",0,0,0,1,0,1,0,0,1,0
"864",0,0,1,0,0,0,0,3,0,2
"865",0,2,0,0,1,0,0,2,0,2
"866",3,0,5,3,0,4,0,1,7,2
"867",1,0,2,2,1,3,0,1,3,1
"868",0,2,0,2,0,1,0,0,3,1
"869",1,1,0,0,1,0,1,1,0,1
"870",3,2,0,1,2,0,1,3,1,2
"871",1,1,0,1,1,1,1,2,1,1
"872",1,2,0,0,2,0,2,2,0,4
"873",2,2,2,1,1,0,1,2,2,2
"874",2,2,2,1,1,0,1,2,2,2
"875",0,0,0,1,0,1,0,0,1,0
"876",0,0,0,0,0,0,0,1,0,1
"877",2,2,0,2,2,1,2,3,2,2
"878",1,1,1,0,0,0,0,0,1,0
"879",3,3,0,2,2,0,1,3,2,2
"880",0,1,0,0,0,0,0,0,0,0
"881",2,2,0,2,2,1,2,3,2,2
"882",1,2,0,0,1,0,1,1,2,1
"883",1,0,0,2,0,2,0,0,3,0
"884",1,1,0,0,1,0,1,1,0,2
"885",3,1,1,3,0,0,0,0,3,0
"886",0,0,0,0,0,0,0,1,1,0
"887",1,2,0,1,2,1,1,3,1,4
"888",0,0,0,0,0,0,0,1,0,0
"889",0,0,0,0,0,0,0,1,0,2
"890",2,2,0,1,2,0,1,3,1,2
"891",3,0,5,3,0,4,0,1,7,2
"892",1,1,0,1,1,0,0,1,0,2
"893",2,1,1,1,2,1,1,3,1,3
"894",2,2,2,1,1,0,1,2,2,2
"895",3,2,0,1,2,0,1,3,1,2
"896",1,1,0,0,1,0,1,1,0,1
"897",1,1,0,0,1,0,1,3,0,1
"898",2,3,1,1,1,0,1,1,1,1
