"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"204",2,1,1,2,0,2,0,3,2,3
"205",2,0,0,2,0,0,0,0,1,0
"206",3,3,2,2,1,2,1,3,4,2
"207",0,1,0,1,0,0,0,2,1,2
"208",1,0,0,2,0,1,0,1,1,2
"209",2,0,0,2,0,0,0,0,1,0
"210",0,1,0,1,0,0,0,2,1,2
"211",0,0,0,0,0,0,0,1,0,0
"212",1,0,1,2,0,1,0,2,1,3
"213",1,0,1,1,0,0,0,2,1,2
"214",0,0,0,0,0,0,0,0,0,1
"215",1,1,0,1,0,1,0,2,1,1
"216",0,1,0,1,0,0,0,2,1,2
"217",0,1,0,1,1,0,0,4,0,4
"218",1,0,1,1,0,0,0,2,1,2
"219",0,0,0,0,0,0,0,0,0,0
"220",1,0,0,1,0,1,0,0,1,1
"221",2,0,2,2,0,0,0,1,4,2
"222",0,1,0,0,2,0,0,1,0,2
"223",1,1,1,2,0,1,2,3,2,2
"224",2,2,0,2,0,1,2,0,5,1
"225",2,4,0,1,2,0,2,2,1,2
"226",0,1,0,1,0,0,0,2,1,2
"227",1,0,1,0,0,0,0,1,1,1
"228",3,2,0,2,0,1,0,2,3,5
"229",1,2,0,1,0,1,0,1,2,2
"230",0,1,2,1,0,0,0,1,2,1
"231",1,2,0,1,0,1,0,1,2,2
"232",1,0,0,1,0,1,0,0,1,0
"233",0,0,0,0,0,0,0,2,0,0
"234",1,1,0,2,0,1,1,0,2,0
"235",1,0,0,1,0,1,0,0,1,1
"236",0,1,0,1,0,0,0,2,1,2
"237",2,0,0,2,0,1,0,0,2,0
"238",1,0,1,1,0,1,1,0,2,0
"239",1,0,1,1,0,0,0,2,1,2
"240",3,1,2,3,0,4,1,2,4,3
"241",0,0,0,1,0,0,0,1,1,0
"242",0,0,0,1,0,0,0,1,0,1
"243",0,1,0,0,1,0,1,2,0,2
"244",1,0,1,2,0,1,0,1,4,2
"245",4,2,1,3,1,1,2,1,4,4
"246",1,1,0,1,0,0,0,0,1,2
